threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.9995,40,3,0.047619047619047616,0.001034126163391934,0.0020242914979757085,0.9627755964965268,0.0016689166857301102,1,20,18,-37.3101202869877,1.2103152859864963,ANN
0.9996,40,2,0.08024691358024691,0.01344364012409514,0.023029229406554472,0.9583585019631531,0.0182948607299112,6,149,13,-37.335145541081985,1.1664113314351137,ANN
0.999,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.999,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,20,2,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,25,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,30,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,30,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,30,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,35,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,35,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,40,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,40,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9995,50,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,20,2,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,20,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,20,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,20,5,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,25,3,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
0.9996,25,4,0.0,0.0,0.0,0.9634929024463909,0.0,0,0,19,-38.0,0.0,ANN
